gene,score,logfoldchange,pval_adj
NKG7,15.103593,2.9479058,3.066903974306163e-48
GNLY,14.810059,2.761378,1.261303776705689e-46
GENE_1826,7.5537624,0.6745479,2.8190750637585457e-11
GENE_1502,7.2453547,0.61349326,2.1565420760622398e-10
GENE_0372,7.1475673,0.62730587,3.533173692510394e-10
GENE_1915,7.1207266,0.60741574,3.5786480283802026e-10
GENE_1359,7.059866,0.64852726,4.761812115833278e-10
GENE_0933,6.970797,0.60204655,7.878765078799873e-10
GENE_0745,6.906175,0.62689734,1.1064353407500045e-09
GENE_0657,6.8442883,0.5843879,1.4921905963718386e-09
