gene,score,logfoldchange,pval_adj
GENE_1585,19.491255,1.7016649,2.6049627821325463e-81
GENE_0136,19.440672,1.6180272,3.4955979344281337e-81
GENE_0339,19.16119,1.626353,5.2045163571128774e-79
GENE_0773,19.076124,1.587148,1.9937590145802017e-78
GENE_1780,19.06378,1.6578271,2.019639935188051e-78
GENE_1190,19.044727,1.657012,2.247672312601035e-78
GENE_1193,19.04057,1.6533333,2.247672312601035e-78
GENE_0027,19.00072,1.587338,4.2055541604627907e-78
GENE_0453,18.988241,1.6461318,4.741201094748072e-78
GENE_0544,18.967176,1.6364529,6.371285285905237e-78
